hand_id,hero_position,hero_hole_cards,hero_action_preflop,hero_folded,hero_won,pot_size,hero_profit_bb,big_blind,hero_stack_pre_bb,num_opponents_preflop,is_pair,suited,high_card_rank,low_card_rank,gap,hand_group
HD2900510303,MP3,3s Tc,folds,True,0.0,5.55,0.0,0.5,0.0,5,0,0,10,3,6,3
HD2900510128,BTN,9s 3h,folds,True,0.0,6.3,0.0,0.5,0.0,5,0,0,9,3,5,3
HD2900509926,SB,Ts Qc,calls,False,0.0,86.16,0.0,0.5,0.0,6,0,0,12,10,1,3
HD2900509764,BB,Qd 5c,checks,False,0.0,5.4,0.0,0.5,0.0,6,0,0,12,5,6,3
HD2900509637,EP,5s 8d,folds,True,0.0,21.58,0.0,0.5,0.0,6,0,0,8,5,2,3
HD2900509411,EP,Ks Kd,raises,False,14.44,15.6,28.88,0.5,0.0,7,1,0,13,13,-1,10
HD2900509274,MP1,3h Ad,calls,False,0.0,4.2,0.0,0.5,0.0,6,0,0,14,3,10,3
HD2900509155,MP2,5d Ks,checks,False,4.8,5.05,9.6,0.5,0.0,7,0,0,13,5,7,3
HD2902528860,BB,8h 9c,calls,False,0.0,21.4,0.0,0.25,0.0,3,0,0,9,8,0,3
HD2901803404,CO,7s Ks,folds,True,0.0,19.73,0.0,0.25,0.0,8,0,1,13,7,5,7
HD2901803312,BTN,6s 6d,raises,False,0.0,3.25,0.0,0.25,0.0,7,1,0,6,6,-1,6
HD2901803232,SB,Qc Jd,raises,False,0.0,4.2,0.0,0.25,0.0,7,0,0,12,11,0,6
HD2901803122,BB,Qc 4d,folds,True,0.0,2.65,0.0,0.25,0.0,7,0,0,12,4,7,3
HD2901803018,EP,Ac 3s,calls,False,0.0,3.25,0.0,0.25,0.0,7,0,0,14,3,10,3
HD2901802878,EP,8c Kc,calls,False,0.0,5.28,0.0,0.25,0.0,7,0,1,13,8,4,7
HD2901802768,MP1,3s 9d,folds,True,0.0,3.65,0.0,0.25,0.0,7,0,0,9,3,5,3
HD2901802586,MP3,7d 2h,folds,True,0.0,12.5,0.0,0.25,0.0,7,0,0,7,2,4,3
HD2901802490,CO,7d Ah,raises,False,1.9,2.0,7.6,0.25,0.0,7,0,0,14,7,6,3
HD2901802358,BTN,7s 2s,folds,True,0.0,5.4,0.0,0.25,0.0,8,0,1,7,2,4,3
HD2901802254,SB,2h 6h,folds,True,0.0,7.47,0.0,0.25,0.0,8,0,1,6,2,3,3
HD2901802170,BB,Qs 5c,folds,True,0.0,2.05,0.0,0.25,0.0,8,0,0,12,5,6,3
HD2901802036,EP,8c 8s,raises,False,0.0,8.26,0.0,0.25,0.0,8,1,0,8,8,-1,8
HD2901801830,EP,9d Jd,raises,False,0.0,43.26,0.0,0.25,0.0,8,0,1,11,9,1,7
HD2901801780,MP2,6s 2c,folds,True,0.0,1.0,0.0,0.25,0.0,7,0,0,6,2,3,3
HD2901801591,MP3,4s 3h,folds,True,0.0,16.19,0.0,0.25,0.0,7,0,0,4,3,0,3
HD2901801518,CO,Th 4h,folds,True,0.0,1.05,0.0,0.25,0.0,8,0,1,10,4,5,7
HD2901801398,BTN,7d 3c,folds,True,0.0,4.45,0.0,0.25,0.0,8,0,0,7,3,3,3
HD2901801229,SB,8c 7s,calls,False,0.0,22.18,0.0,0.25,0.0,7,0,0,8,7,0,3
HD2901801170,BB,6h 5d,folds,True,0.0,1.75,0.0,0.25,0.0,7,0,0,6,5,0,3
HD2901800998,EP,8h 5d,folds,True,0.0,2.5,0.0,0.25,0.0,7,0,0,8,5,2,3
HD2901800874,EP,4s 7c,folds,True,0.0,1.15,0.0,0.25,0.0,7,0,0,7,4,2,3
HD2901800809,MP1,Qd 6d,calls,False,0.0,2.15,0.0,0.25,0.0,7,0,1,12,6,5,7
HD2901800645,MP2,6s 8c,folds,True,0.0,6.89,0.0,0.25,0.0,7,0,0,8,6,1,3
HD2901800447,CO,2s 8s,folds,True,0.0,7.2,0.0,0.25,0.0,7,0,1,8,2,5,3
HD2901800404,BTN,5s 2s,calls,False,0.0,1.0,0.0,0.25,0.0,7,0,1,5,2,2,3
HD2901800297,SB,9d Qd,calls,False,0.0,4.65,0.0,0.25,0.0,7,0,1,12,9,2,9
HD2901800231,BB,Qs Td,calls,False,0.0,1.5,0.0,0.25,0.0,7,0,0,12,10,1,3
HD2901800110,EP,4d 5s,folds,True,0.0,9.39,0.0,0.25,0.0,7,0,0,5,4,0,3
HD2901800012,MP1,7h Kd,folds,True,0.0,2.41,0.0,0.25,0.0,6,0,0,13,7,5,3
HD2901799953,MP2,Ad 7d,raises,False,0.0,0.95,0.0,0.25,0.0,6,0,1,14,7,6,7
HD2901799801,CO,6h Qc,folds,True,0.0,1.9,0.0,0.25,0.0,7,0,0,12,6,5,3
HD2901799703,BTN,Js 9c,calls,False,0.0,2.25,0.0,0.25,0.0,7,0,0,11,9,1,3
HD2901799583,SB,9h 6s,calls,False,0.0,0.9,0.0,0.25,0.0,7,0,0,9,6,2,3
HD2901799438,BB,Jd 7d,folds,True,0.0,8.75,0.0,0.25,0.0,7,0,1,11,7,3,7
HD2901799393,EP,2c Qd,folds,True,0.0,1.0,0.0,0.25,0.0,7,0,0,12,2,9,3
HD2901799328,EP,3s Qc,folds,True,0.0,2.25,0.0,0.25,0.0,7,0,0,12,3,8,3
HD2901799174,MP1,Jd Qh,calls,False,7.31,7.89,29.24,0.25,0.0,7,0,0,12,11,0,6
HD2901799006,MP3,Kd 9c,folds,True,0.0,36.38,0.0,0.25,0.0,7,0,0,13,9,3,3
HD2901798846,CO,2c 5s,folds,True,0.0,7.28,0.0,0.25,0.0,7,0,0,5,2,2,3
HD2901798777,BTN,7h 5c,folds,True,0.0,3.0,0.0,0.25,0.0,7,0,0,7,5,1,3
HD2901798622,SB,7d Ah,raises,False,0.0,21.47,0.0,0.25,0.0,7,0,0,14,7,6,3
HD2901798543,BB,Js 8d,calls,False,0.0,3.91,0.0,0.25,0.0,6,0,0,11,8,2,3
HD2901798481,EP,Td 7c,calls,False,0.91,0.95,3.64,0.25,0.0,6,0,0,10,7,2,3
HD2901798306,EP,4d Js,folds,True,0.0,15.34,0.0,0.25,0.0,7,0,0,11,4,6,3
HD2901798127,MP2,3h 7h,folds,True,0.0,10.4,0.0,0.25,0.0,6,0,1,7,3,3,3
HD2901798027,MP3,7h Kd,calls,False,0.0,2.97,0.0,0.25,0.0,6,0,0,13,7,5,3
HD2901797997,CO,3d Ks,folds,True,0.0,0.6,0.0,0.25,0.0,6,0,0,13,3,9,3
HD2901797828,BTN,2d Kc,folds,True,0.0,15.66,0.0,0.25,0.0,7,0,0,13,2,10,3
HD2901797763,BB,Kd Jd,calls,False,0.0,2.9,0.0,0.25,0.0,7,0,1,13,11,1,9
HD2901797675,EP,2s 7s,folds,True,0.0,2.25,0.0,0.25,0.0,7,0,1,7,2,4,3
HD2901797608,EP,7h 5h,calls,False,0.0,3.35,0.0,0.25,0.0,7,0,1,7,5,1,3
HD2901797523,MP1,Jh Ad,raises,False,0.0,6.0,0.0,0.25,0.0,8,0,0,14,11,2,3
HD2901797411,MP2,4h Tc,folds,True,0.0,2.05,0.0,0.25,0.0,8,0,0,10,4,5,3
HD2901797335,MP3,6c 9d,folds,True,0.0,2.05,0.0,0.25,0.0,8,0,0,9,6,2,3
HD2901797240,CO,Js 9h,calls,False,0.0,5.3,0.0,0.25,0.0,7,0,0,11,9,1,3
HD2901797134,BTN,Jh 9h,calls,False,0.0,6.97,0.0,0.25,0.0,6,0,1,11,9,1,7
HD2901797073,BB,3d Td,calls,False,0.0,2.1,0.0,0.25,0.0,6,0,1,10,3,6,7
HD2901796919,EP,Td Ts,raises,False,0.0,39.16,0.0,0.25,0.0,6,1,0,10,10,-1,10
HD2901796793,EP,Td Ad,raises,False,20.76,22.05,83.04,0.25,0.0,6,0,1,14,10,3,7
HD2901796688,MP2,Th 5s,calls,False,1.29,1.35,5.16,0.25,0.0,6,0,0,10,5,4,3
HD2901796544,MP3,9c 4d,folds,True,0.0,12.03,0.0,0.25,0.0,6,0,0,9,4,4,3
HD2901796492,CO,9d Jh,calls,False,0.0,3.7,0.0,0.25,0.0,6,0,0,11,9,1,3
